2023-12-11 00:37:24,403 - root - INFO - Epoch 0; loss: 9.284972190856934; CER: 0.9405882954597473; WER: 0.9997556209564209; val_loss: 19.237545013427734; val_CER: 1.0; val_WER: 1.0
2023-12-11 00:43:59,379 - root - INFO - Epoch 1; loss: 7.8284711837768555; CER: 0.9128124117851257; WER: 0.9993556141853333; val_loss: 21.073274612426758; val_CER: 0.9998834729194641; val_WER: 1.0
2023-12-11 00:51:22,372 - root - INFO - Epoch 2; loss: 6.9225640296936035; CER: 0.7959674000740051; WER: 0.9953110814094543; val_loss: 15.483373641967773; val_CER: 0.8712736964225769; val_WER: 1.0
2023-12-11 00:58:38,363 - root - INFO - Epoch 3; loss: 4.081003189086914; CER: 0.4720136821269989; WER: 0.9294651746749878; val_loss: 15.285554885864258; val_CER: 0.7449167966842651; val_WER: 0.9996000528335571
2023-12-11 01:05:51,460 - root - INFO - Epoch 4; loss: 2.065810203552246; CER: 0.2286316305398941; WER: 0.6069912910461426; val_loss: 14.27061939239502; val_CER: 0.6632566452026367; val_WER: 0.9998000264167786
2023-12-11 01:13:06,855 - root - INFO - Epoch 5; loss: 1.0537025928497314; CER: 0.10774459689855576; WER: 0.32347387075424194; val_loss: 12.290828704833984; val_CER: 0.5698735117912292; val_WER: 1.0
2023-12-11 01:20:18,719 - root - INFO - Epoch 6; loss: 0.633550763130188; CER: 0.06107049062848091; WER: 0.18942643702030182; val_loss: 11.239607810974121; val_CER: 0.5200999975204468; val_WER: 0.9994000196456909
2023-12-11 01:27:26,021 - root - INFO - Epoch 7; loss: 0.44904661178588867; CER: 0.04220444709062576; WER: 0.13182516396045685; val_loss: 10.081313133239746; val_CER: 0.49323996901512146; val_WER: 1.0
2023-12-11 01:50:16,100 - root - INFO - Epoch 8; loss: 0.3357559144496918; CER: 0.029947705566883087; WER: 0.09477988630533218; val_loss: 11.74756145477295; val_CER: 0.5386466383934021; val_WER: 1.0
2023-12-11 02:29:14,099 - root - INFO - Epoch 9; loss: 0.2685047686100006; CER: 0.023704903200268745; WER: 0.07464610785245895; val_loss: 13.556264877319336; val_CER: 0.6015465259552002; val_WER: 1.0
2023-12-11 02:35:05,373 - root - INFO - Epoch 10; loss: 0.23556554317474365; CER: 0.02103077806532383; WER: 0.06600146740674973; val_loss: 9.431379318237305; val_CER: 0.45349666476249695; val_WER: 0.9984000325202942
2023-12-11 02:40:57,368 - root - INFO - Epoch 11; loss: 0.19027657806873322; CER: 0.016716642305254936; WER: 0.053623415529727936; val_loss: 12.741594314575195; val_CER: 0.5755435228347778; val_WER: 1.0
2023-12-11 02:46:49,132 - root - INFO - Epoch 12; loss: 0.15773984789848328; CER: 0.013800314627587795; WER: 0.04477877542376518; val_loss: 23.4368953704834; val_CER: 0.9103596210479736; val_WER: 0.9976000189781189
2023-12-11 03:17:39,557 - root - INFO - Epoch 13; loss: 0.1455134153366089; CER: 0.01264585554599762; WER: 0.04055646061897278; val_loss: 11.521034240722656; val_CER: 0.4820966422557831; val_WER: 1.0
2023-12-11 03:23:38,800 - root - INFO - Epoch 14; loss: 0.14307822287082672; CER: 0.01230844110250473; WER: 0.03911198303103447; val_loss: 9.734848976135254; val_CER: 0.48689010739326477; val_WER: 0.9998000264167786
2023-12-11 03:30:02,497 - root - INFO - Epoch 15; loss: 0.11583194136619568; CER: 0.009796534664928913; WER: 0.03166737034916878; val_loss: 11.84752368927002; val_CER: 0.540863573551178; val_WER: 1.0
2023-12-11 03:37:10,962 - root - INFO - Epoch 16; loss: 0.11346860975027084; CER: 0.009467266499996185; WER: 0.03093402273952961; val_loss: 10.953527450561523; val_CER: 0.49373650550842285; val_WER: 0.9980000257492065
2023-12-11 03:44:18,741 - root - INFO - Epoch 17; loss: 0.09722699970006943; CER: 0.008232787251472473; WER: 0.02677837386727333; val_loss: 14.886220932006836; val_CER: 0.7408964037895203; val_WER: 0.9982000589370728
2023-12-11 03:51:28,767 - root - INFO - Epoch 18; loss: 0.09776674211025238; CER: 0.008294644765555859; WER: 0.026578370481729507; val_loss: 11.593012809753418; val_CER: 0.5480498671531677; val_WER: 1.0
2023-12-11 03:58:37,825 - root - INFO - Epoch 19; loss: 0.08935896307229996; CER: 0.007630547042936087; WER: 0.025356119498610497; val_loss: 15.846930503845215; val_CER: 0.6245467066764832; val_WER: 1.0
2023-12-11 04:05:47,061 - root - INFO - Epoch 20; loss: 0.08432941883802414; CER: 0.006968309637159109; WER: 0.022511612623929977; val_loss: 12.596660614013672; val_CER: 0.5216431617736816; val_WER: 1.0
2023-12-11 04:12:58,632 - root - INFO - Epoch 21; loss: 0.0721854493021965; CER: 0.006100127939134836; WER: 0.02000044472515583; val_loss: 12.061846733093262; val_CER: 0.5295365452766418; val_WER: 0.9998000264167786
2023-12-11 04:36:25,932 - root - INFO - Epoch 22; loss: 0.07382796704769135; CER: 0.006066793575882912; WER: 0.02000044472515583; val_loss: 11.633234024047852; val_CER: 0.49906325340270996; val_WER: 0.9966000318527222
2023-12-11 05:01:08,499 - root - INFO - Epoch 23; loss: 0.06610380858182907; CER: 0.005419741850346327; WER: 0.018000401556491852; val_loss: 11.615296363830566; val_CER: 0.4895099401473999; val_WER: 0.9998000264167786
2023-12-11 05:08:29,267 - root - INFO - Epoch 24; loss: 0.0660298615694046; CER: 0.005590485408902168; WER: 0.018400410190224648; val_loss: 11.872550010681152; val_CER: 0.5559332966804504; val_WER: 1.0
